"user_id","donated","condition","clickthrough","recruited","raised","donatedsince","n","propdevice","numdevice","device","firstvisit","houroffirst"
103565,50,1,0,0,0,0,1,1,1,"Desktop",14,"18"
104818,540,1,0,0,0,1,2,0,1,"Tablet",15,"17"
104945,10,0,0,0,0,1,2,1,1,"Desktop",23,"20"
105213,1007.16,1,0,0,0,1,10,1,1,"Desktop",1,"8"
105225,25,0,0,0,0,0,1,1,1,"Desktop",27,"17"
105411,10,1,0,0,0,0,1,1,1,"Desktop",3,"19"
105598,5,0,0,0,0,1,1,1,1,"Desktop",25,"21"
105713,20,0,1,0,0,1,1,0,1,"Mobile",19,"7"
105796,330.09,1,0,0,0,1,3,1,1,"Desktop",13,"11"
106439,337.28,0,0,0,0,1,2,1,1,"Desktop",16,"13"
106612,25,0,1,0,0,0,1,0,1,"Mobile",8,"11"
106917,353,1,1,1,5,1,9,1,1,"Desktop",17,"11"
107021,160.88,1,0,0,0,1,4,1,1,"Desktop",17,"11"
107144,200,1,0,0,0,1,1,1,1,"Desktop",15,"15"
107323,55,0,0,0,0,1,2,1,1,"Desktop",7,"19"
107381,87.22,0,0,0,0,1,2,1,1,"Desktop",23,"1"
107565,61.1,1,0,0,0,1,4,1,1,"Desktop",23,"20"
108285,75,0,0,0,0,1,1,1,1,"Desktop",23,"16"
108498,75,1,0,0,0,0,2,0.666666666666667,2,"Desktop",6,"10"
108595,100,0,1,0,0,1,4,1,1,"Desktop",20,"19"
108663,167.87,0,0,0,0,1,2,1,1,"Desktop",24,"12"
108960,34.58,1,0,0,0,1,2,0,1,"Mobile",4,"10"
108978,44.92,0,0,0,0,1,2,0,1,"Mobile",24,"1"
109681,25,0,0,0,0,1,1,0,1,"Mobile",22,"19"
109791,25,1,0,0,0,0,1,0,1,"Mobile",27,"1"
109812,50,1,0,0,0,0,1,0,1,"Mobile",24,"13"
110605,50,0,1,0,0,1,2,0,1,"Tablet",19,"7"
110908,25,1,0,0,0,0,1,1,1,"Desktop",18,"16"
110948,25,1,0,0,0,0,1,1,1,"Desktop",18,"1"
111015,35,1,0,0,0,1,1,1,1,"Desktop",21,"17"
111424,20,0,1,0,0,0,1,1,1,"Desktop",24,"12"
111513,21,0,0,0,0,0,1,1,1,"Desktop",9,"14"
111665,265.48,1,0,0,0,1,2,0.5,2,"Desktop",23,"10"
111722,50,1,0,0,0,0,1,1,1,"Desktop",20,"15"
111994,2.94,0,0,0,0,0,1,0,1,"Mobile",8,"0"
112172,158.6,0,0,0,0,0,1,1,1,"Desktop",8,"16"
112245,30,0,0,0,0,0,1,1,1,"Desktop",28,"9"
112392,50,1,0,0,0,0,1,0,1,"Mobile",24,"19"
112418,100,0,0,0,0,1,1,1,1,"Desktop",24,"21"
112584,150,1,0,0,0,1,4,1,1,"Desktop",20,"3"
113068,50,1,1,0,0,1,1,0,1,"Mobile",22,"21"
113908,30,1,0,0,0,1,1,1,1,"Desktop",22,"19"
114440,100,1,0,0,0,0,2,0.5,2,"",4,"16"
114484,50,0,0,0,0,0,1,1,1,"Desktop",15,"19"
114708,50,0,0,0,0,1,2,1,1,"Desktop",11,"11"
115139,20,0,0,0,0,0,1,1,1,"Desktop",21,"15"
115230,25,1,0,0,0,0,1,1,1,"Desktop",16,"21"
115399,77,1,0,0,0,0,2,0,1,"Mobile",13,"22"
115497,50,0,1,0,0,0,1,0,1,"Mobile",2,"18"
115742,50,1,0,0,0,0,1,1,1,"Desktop",15,"16"
115774,50,0,0,0,0,1,1,0,1,"",16,"16"
115800,20,1,0,0,0,1,1,1,1,"Desktop",5,"17"
116661,120,1,0,0,0,1,2,1,1,"Desktop",8,"13"
116770,25,1,1,0,0,1,1,1,1,"Desktop",20,"7"
117103,50,1,0,0,0,1,1,1,1,"Desktop",6,"16"
117219,10,0,0,0,0,0,1,0,1,"Tablet",12,"19"
117271,100,1,1,0,0,1,4,0.857142857142857,2,"Desktop",3,"8"
117410,154.75,1,0,0,0,0,5,1,1,"Desktop",23,"13"
117745,30,1,1,0,0,1,2,0,1,"Mobile",5,"19"
117868,210,1,0,0,0,1,3,1,1,"Desktop",20,"3"
118097,25,1,0,0,0,0,1,0,1,"Mobile",18,"10"
118218,147.86,0,0,0,0,1,1,1,1,"Desktop",15,"10"
119668,50,1,0,0,0,1,2,0,2,"Mobile",12,"21"
119778,334.53,0,0,0,0,1,1,1,1,"Desktop",15,"15"
120549,5,1,0,0,0,1,1,1,1,"Desktop",13,"18"
120723,100,1,0,0,0,1,1,0,1,"Mobile",11,"22"
120863,54,1,0,0,0,1,2,0.5,2,"Desktop",24,"19"
121124,150,0,0,0,0,1,2,1,1,"Desktop",9,"12"
121341,1000,0,0,0,0,0,2,0,2,"Mobile",16,"9"
121483,65,1,1,2,50,0,3,1,1,"Desktop",5,"22"
121987,274.36,1,0,0,0,1,2,1,1,"Desktop",22,"17"
122023,170.53,0,0,0,0,1,11,0,1,"Mobile",3,"23"
122061,25,1,0,0,0,1,2,0,1,"Mobile",22,"18"
122196,50,0,0,0,0,0,1,0,1,"Mobile",26,"20"
122590,137.06,0,0,0,0,1,3,1,1,"Desktop",26,"10"
122783,114.04,0,1,0,0,1,4,0.25,2,"Mobile",7,"14"
123329,5,1,1,0,0,0,1,0,1,"Mobile",13,"7"
123545,25,0,0,0,0,0,1,1,1,"Desktop",6,"19"
123927,250,1,0,0,0,1,1,1,1,"Desktop",6,"17"
124159,25,1,0,0,0,0,1,1,1,"Desktop",19,"18"
124427,25,0,1,0,0,0,1,0,1,"Mobile",20,"5"
124706,422.24,1,0,0,0,1,5,0.666666666666667,2,"",23,"14"
124854,100,0,0,0,0,0,1,1,1,"Desktop",6,"10"
124936,15,0,0,0,0,1,1,1,1,"Desktop",10,"13"
125044,75,1,0,0,0,1,2,1,1,"Desktop",24,"15"
125222,23,1,0,0,0,0,1,0,1,"Mobile",27,"10"
125279,661.44,1,0,0,0,0,7,1,1,"Desktop",18,"22"
125593,20,0,0,0,0,0,1,1,1,"Desktop",13,"19"
126177,1277.53,1,0,0,0,1,6,1,1,"Desktop",21,"13"
126187,50,1,0,0,0,0,2,0.5,2,"",26,"12"
126370,225,0,0,0,0,1,2,0.5,2,"Mobile",12,"6"
126547,250,0,0,0,0,0,1,1,1,"Desktop",22,"13"
126731,74,1,0,0,0,1,1,0,1,"Mobile",6,"9"
126791,25,0,0,0,0,1,1,0,1,"Mobile",16,"13"
127113,125,0,0,0,0,1,5,1,1,"Desktop",1,"21"
127653,25,1,0,0,0,0,1,0,1,"Mobile",6,"1"
127806,25,0,0,0,0,0,1,0,1,"Mobile",20,"23"
128609,14.86,1,0,0,0,0,1,0,1,"Mobile",23,"10"
128720,125,1,0,0,0,0,3,0,1,"Mobile",12,"7"
128870,389.18,1,0,0,0,1,1,0,1,"Mobile",28,"10"
128902,100,1,1,0,0,1,1,1,1,"Desktop",19,"20"
129001,25,0,0,0,0,1,1,1,1,"Desktop",8,"1"
129452,25,1,0,0,0,0,1,0,1,"Mobile",9,"11"
129608,190.3,0,0,0,0,0,1,1,1,"Desktop",23,"13"
129655,43.08,1,0,0,0,1,11,1,1,"Desktop",3,"13"
131185,200,0,0,0,0,1,4,1,1,"Desktop",12,"17"
131345,30,1,0,0,0,1,2,0.5,2,"",5,"2"
131744,50,1,0,0,0,0,1,1,1,"Desktop",22,"13"
131756,55,0,0,0,0,0,2,0,1,"Mobile",23,"12"
131998,50,0,0,0,0,1,2,1,1,"Desktop",24,"8"
